0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1.0034972,1.2518678,0.3075597,1.5816311,1.4624879,0.21420775,-1.3078369,-1.9758679,-0.010480515,0.9018655,1.0742134,1.1404017,1.2482656,0.48144275,-1.9223257,0.82747865,-1.4574257,1.647682,2.0185986,0.98733693,1.2647313,0.8935745,0.49028897,0.241991,0.97703034,1.254011,0.03298068,0.16172178,1.638708,1.4794346,-1.1564441,1.0253319,0.36809504,1.1622187,0.8792116,0.4597562,-0.8643802,-1.1958092,1.7727907,0.94376534,0.97550285,0.5766337,-1.0294418
-0.20890932,0.1305522,-0.19850665,0.04933243,0.10113156,-0.03764539,0.04339347,-0.08285876,0.0014712127,-0.028693268,-0.0061104693,-0.059748743,-0.19710658,0.06082313,-0.06291021,-0.04489379,0.0067561315,-0.21730465,-0.07494723,0.012636877,0.2603507,0.13828674,0.18796535,-0.026960298,-0.05492416,-0.15120035,-0.04363726,0.052464113,0.35080233,-0.054436125,0.049319208,0.16538319,-0.067407854,-0.27622974,0.003058542,0.10474626,0.040725276,0.16014928,-0.0043966793,0.10612012,-0.090391584,0.10869589,-0.14658675
-0.080579236,-0.120058514,-0.038986895,0.025571568,-0.012832976,-0.079999544,0.19763856,-0.09610896,0.009570764,-0.25329167,-0.05053931,0.02789874,0.010583675,-0.015303665,-0.09110977,-0.29069936,-1.953936,-0.06992019,-0.22766821,-0.046753533,-0.055067375,-0.1323069,0.17453109,-0.26398236,0.20347525,0.005494568,-0.02616349,-0.009085639,-0.0642515,0.04782098,-0.0275572,-0.12954669,-0.16335271,-0.0816413,-0.034029238,-0.019032238,0.0029840278,0.05919437,-0.06290776,0.17983,-0.04769522,-0.026819404,-0.1335656
0.62880784,0.11690575,0.097192384,-0.06684621,-0.021414703,0.023379568,-0.032835975,-0.015181462,-1.8066558,0.31945354,0.8768453,0.19866739,-0.18880697,0.058579262,-0.2620277,0.22852525,-3.0931885,0.15352494,0.6323208,-0.15932208,0.11692709,-0.4870266,-0.3911344,0.33239245,0.3690635,-0.14075713,0.045581054,-0.2990937,0.47125512,-0.0019973125,-0.04250919,-0.079574116,0.58233964,-0.18559696,0.0122450655,0.22538704,-0.11322095,0.4465314,0.7791819,0.51129514,-0.2925003,0.35922775,0.49893054
0.6911031,0.532956,0.06400645,-0.23674142,-0.076788954,-0.6069469,1.1814874,-0.10945456,0.2735413,0.83095527,0.025460158,1.9451337,1.0489992,0.4716228,-0.5108937,-0.5132906,-1.5938479,-0.7200014,0.77046543,1.0869954,0.5254515,0.18567015,0.7475827,0.11506938,0.03158955,-0.5249252,0.7891909,0.1293781,0.9544711,0.8316634,0.65184224,0.08892363,0.21241637,-1.1560427,1.537887,0.42072755,-0.34545922,-1.4945726,2.4528365,-0.105258666,0.14527236,1.2826821,1.1360593
0.64931303,-0.62061954,0.47220355,0.19865666,-0.05137776,-1.5342416,-0.37304035,-0.1876044,-0.9328789,-0.015417043,0.038606122,0.760888,0.6651458,-0.15400514,0.36317137,-0.31186986,-2.128332,0.30136752,0.96934605,-1.3376019,-0.30528483,-0.25139615,-0.06077753,-0.14876957,-0.019715495,1.2910662,-0.61245936,0.13703074,-0.014489484,-0.6065844,-0.123803645,0.14156975,0.22477785,0.083592676,0.93307847,-0.38961652,0.11481586,-0.08229256,0.25313756,-0.2370796,-0.2754105,-0.31701037,0.5246683
0.89031595,0.3855171,-1.3151035,0.42442188,0.8812414,-0.85235304,0.7065736,0.5099206,0.09924794,-0.22760949,0.25949097,0.11252383,1.0807037,-0.0041136653,0.45795247,-0.0986491,0.25090557,0.6456793,0.258223,-1.3850255,-0.24182732,1.4249821,-0.41178036,0.088254414,-0.73282677,-0.67118126,-0.73832476,-0.1596516,0.7228039,-0.6361643,-0.067346014,-0.102509804,0.16791098,0.034892052,1.4658514,1.358425,-1.0203294,0.081283756,-0.17557359,0.24655347,-0.32765502,-0.31130826,0.27496454
-0.60836834,0.39644322,-0.0278424,-1.0098585,-0.48587635,0.013119876,-0.7159804,-0.20577182,0.08753561,0.22080249,0.095840774,0.48346096,-0.737297,-1.0404404,0.37328398,-0.1724762,-2.294354,0.36673263,-0.29129866,-0.068505585,0.005828506,-0.07815512,-0.20949817,0.18205467,0.029692702,0.11687415,-0.6310593,-0.45323253,0.200814,-0.07258164,-0.14068332,-0.26136395,-1.2745906,-0.43958393,-0.31138167,0.05896365,-0.18053128,-0.17828955,-0.45742655,0.04077221,-0.51290613,0.4059836,0.4017188
0.76176965,-0.49746245,0.32435247,-0.9640089,-1.3758562,0.07202144,0.105466925,0.089076184,0.51317185,0.42027983,0.14254569,-0.33687583,-0.0191312,-0.6132299,0.08263113,-0.9361618,-0.6139383,0.12504432,0.18395478,0.015841933,0.7519051,-0.8246498,0.17452405,-0.29097137,0.10691197,-0.3455241,-0.57652307,0.439186,0.39233857,-0.70808953,-0.20551634,0.076482736,0.018553542,-0.08646652,0.014465739,-1.1099237,0.002634117,0.18770032,0.4911087,-0.567163,0.21862997,0.10315093,-0.43489206
0.99907583,0.34391764,-2.229895,-0.09539082,-1.3643522,-0.70869905,0.5914853,-0.029973052,0.1489033,0.56637996,1.5473682,0.44052002,-0.17535155,0.23000352,0.48103204,-0.72110194,0.29986992,0.029804869,0.027117059,-3.5709019,0.3579283,1.2958937,0.38168445,-1.6383317,-0.22477508,-0.40730384,-1.2788512,0.4217557,1.6964382,0.5900623,-0.15663499,-0.43659416,0.09691109,0.5716963,0.30713373,1.2987705,-0.12928772,1.0400368,1.0489699,1.3656434,-0.4244041,-2.2293036,-1.167956
0.58120733,-0.19384286,-0.16784336,0.07241656,0.43424258,0.010800982,-0.17487878,0.6712555,-0.3312659,0.41828322,0.28547,0.27400914,0.8473944,0.22643177,-0.5154654,0.20848581,-0.30386612,-0.22463316,-0.5049651,-0.9289146,0.7846314,0.71320224,0.38142267,0.36115563,0.7622764,0.6373588,0.6824035,-0.513876,-0.29456648,0.1905533,-0.028872898,-0.28632718,-0.867635,0.8857657,0.269495,-0.93727833,0.24642405,1.2084582,0.37782502,0.3744012,-0.14731444,0.34217247,-0.392642
0.043231923,0.099699445,-0.16726305,-0.49058238,-0.20718214,-0.10198077,0.1919618,0.030523717,-0.113182634,-0.10672683,0.34214914,-0.26297382,-0.40909562,-0.2603234,0.434643,0.032410998,-0.47854313,0.16147758,-0.19607066,-0.1548713,0.117702834,0.539745,0.47758684,0.00033584362,-1.8761562,0.3222469,-0.0076818457,-0.6400303,0.15973654,-0.8104098,-0.14829123,-0.2830868,0.30168188,-0.34099245,2.218807,0.61909837,-0.09436544,-0.23894174,-0.26918566,0.41230115,-2.2766304,0.032734774,0.43329668
1.6464074,0.1602667,-0.45209882,0.46017238,-1.0519406,-0.17567886,0.6122958,0.28716022,-0.5544921,0.51387435,2.248932,2.0324464,-0.42290434,0.34368533,0.8719817,-1.5297353,-0.5188973,0.7004223,0.7153439,-0.053397857,-0.2666914,-0.95192814,1.0134474,-0.11313224,0.6533341,0.4252853,1.041708,0.77318925,2.4556632,-1.3912027,-0.03846546,-0.64423364,-0.0075840694,0.607589,0.5890205,-1.317681,0.5743744,0.19150488,-0.6604523,-0.4740877,1.1842644,0.066110544,0.4660499
